Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Gegner
2025-08-24_HCR_A,Zone-Exits For: 3,D1,L2,,5:5,,,,,Zone-Exits,,Bad,
2025-08-24_HCR_A,Zone-Exits For: 4,D1,L2,,5:5,,,,,Zone-Exits,,Bad,
2025-08-24_HCR_A,Zone-Exits For: 5,D2,L2,,5:5,,,,,Zone-Exits,,Bad,
2025-08-24_HCR_A,Zone-Exits For: 6,D2,L1,,5:5,,,,,Zone-Exits,,Bad,
2025-08-24_HCR_A,Zone-Exits For: 7,D2,L1,,5:5,,,,,Zone-Exits,,Good,
2025-08-24_HCR_A,Zone-Exits For: 8,D2,L1,,5:5,,,,,Zone-Exits,,Good,
2025-08-24_HCR_A,Zone-Exits For: 9,D2,L1,,5:5,,,,,Zone-Exits,,Good,
2025-08-24_HCR_A,Zone-Exits For: 10,D2,L1,,5:5,,,,,Zone-Exits,,Good,
2025-08-24_HCR_A,Zone-Exits For: 11,D2,L1,,5:5,,,,,Zone-Exits,,Good,
2025-08-24_HCR_A,Zone-Exits For: 12,D3,L1,,5:5,,,,,Zone-Exits,,Bad,
2025-08-24_HCR_A,Zone-Exits For: 13,D3,L1,,5:5,,,,,Zone-Exits,,Bad,
2025-08-24_HCR_A,Zone-Exits For: 14,D3,L1,,5:5,,,,,Zone-Exits,,Bad,
2025-08-24_HCR_A,Zone-Exits For: 15,D3,L2,,5:5,,,,,Zone-Exits,,Bad,
2025-08-24_HCR_A,Zone-Exits For: 16,D3,L2,,5:5,,,,,Zone-Exits,,Bad,
2025-08-24_HCR_A,Zone-Exits For: 17,D3,L2,,5:5,,,,,Zone-Exits,,Bad,
2025-08-24_HCR_A,Zone-Exits For: 18,D3,L1,,5:5,,,,,Zone-Exits,,Bad,
